,record_name,ref_code,ref_name,ref_unit
304,Выключатель наружной установки с задней стенкой одноклавишный 16А,27.33.11.140.20.4.01.01-1051-000,"Выключатель открытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
305,Выключатель наружной установки с задней стенкой двухклавишный 16А,27.33.11.140.20.4.01.01-1051-000,"Выключатель открытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
306,Выключатель наружной установки с задней стенкой одноклавишный 16А,27.33.11.140.20.4.01.01-1055-000,"Выключатель открытого монтажа, проходной, одноклавишный, цвет белый, IP20",шт
307,Выключатель наружной установки с задней стенкой одноклавишный 16А,27.33.11.140.20.4.01.02-1023-000,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
308,Выключатель 1-клавишный ОП 10А,27.33.11.140.20.4.01.02-1023-000,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
309,Выключатель наружной установки с задней стенкой двухклавишный 16А,27.33.11.140.20.4.01.02-1023-000,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
310,Выключатель 2-клавишный ОП 10А белый,27.33.11.140.20.4.01.02-1023-000,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
311,Выключатель 1-клавишный ОП 10А,27.33.11.140.20.4.01.02-1023-000,"Выключатель скрытого монтажа, одноклавишный, 10 А, цвет белый, IP20",шт
312,Гайка М10х40 (для щита),25.94.11.130.01.7.15.05-1000-000,"Гайки стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М20",т
313,Гайка шестигранная М8,25.94.11.130.01.7.15.05-1000-000,"Гайки стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М20",т
314,Гайка оц. DIN 934 М12,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
315,Гайка оц. DIN 934 М14,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
316,Гайка оц. DIN 934 М12,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
317,Гайка оц. DIN 934 М14,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
318,Гайка оц. DIN 934 М12,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
319,Гайка оц. DIN 934 М14,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
320,Гайка оц. DIN 934 М14,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
321,Гайка оц. DIN 934 М12,25.94.11.130.01.7.15.05-0024-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М12 (М14)",т
322,Гайка оц. DIN 934 М16,25.94.11.130.01.7.15.05-0025-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)",кг
323,Болты М16 класс прочности 8.8 (болта+ гайка),25.94.11.130.01.7.15.05-0025-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)",кг
324,Гайка оц. DIN 934 М16,25.94.11.130.01.7.15.05-0025-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)",кг
325,Гайка оц. DIN 934 М16,25.94.11.130.01.7.15.05-0025-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М16 (М18)",кг
326,Гайка M20,25.94.11.130.01.7.15.05-0026-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М20 (М22)",кг
327,Гайка М10х40 (для щита),25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
328,Гайки М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
329,Гайка М10х40 (для щита),25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
330,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
331,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
332,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
333,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
334,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
335,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
336,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
337,Гайка шестигранная М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
338,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
339,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
340,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
341,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
342,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
343,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
344,"Хомут стандартный с упл. 1/2"" (20-24), М8",25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
345,"Хомут стандартный с упл. 2"" (59-66), М8",25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
346,Шайба М10,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
347,Шайба оц. DIN 125 М8,25.94.11.130.01.7.15.05-0022-000,"Гайки стальные оцинкованные шестигранные, диаметр резьбы М8 (М10)",кг
348,Гайка оц. DIN 934 М12,25.94.11.130.01.7.15.05-0014-000,"Гайки стальные шестигранные, диаметр резьбы М12 (М14)",т
349,Гайка оц. DIN 934 М14,25.94.11.130.01.7.15.05-0014-000,"Гайки стальные шестигранные, диаметр резьбы М12 (М14)",т
350,Гайка М16,25.94.11.130.01.7.15.05-0015-000,"Гайки стальные шестигранные, диаметр резьбы М16 (М18)",т
351,Гайка оц. DIN 934 М16,25.94.11.130.01.7.15.05-0015-000,"Гайки стальные шестигранные, диаметр резьбы М16 (М18)",т
352,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0011-000,"Гайки стальные шестигранные, диаметр резьбы М6",т
353,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0011-000,"Гайки стальные шестигранные, диаметр резьбы М6",т
354,"Гайка шестигранная М4 DIN 934 цинк, пакет (ул.50шт) Tech-Krep 103023",25.94.11.130.01.7.15.05-0011-000,"Гайки стальные шестигранные, диаметр резьбы М6",т
355,Гайки М10,25.94.11.130.01.7.15.05-0011-000,"Гайки стальные шестигранные, диаметр резьбы М6",т
356,Гайка М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
357,Гайка М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
358,Гайка М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
359,Гайка М8,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
360,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
361,Гайки М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
362,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
363,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
364,Гайка М10х40 (для щита),25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
365,Гайка М10х40 (для щита),25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
366,Гайка М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
367,Гайка оц. DIN 934 М8,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
368,Гайка М8 СОЭМИ Н0115182000,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
369,Гайка М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
370,Гайка М8,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
371,Гайка оц. DIN 934 М10,25.94.11.130.01.7.15.05-0012-000,"Гайки стальные шестигранные, диаметр резьбы М8 (М10)",т
372,Геотекстиль термообработанный иглопробивной ТехноНиколь 300г/м2,13.95.10.112.01.7.12.05-0134-000,"Геополотно нетканое полипропиленовое, иглопробивное, прочность при растяжении 12,2/9,9 кН/м, поверхностная плотность 300 г/м2",м2
373,Геотекстиль игл. 200 г/м2 3*50м (рулон 30кг/150м2),13.95.10.112.01.7.12.05-0053-000,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2",м2
374,Геотекстиль термообработанный иглопробивной ТехноНиколь 300г/м2,13.95.10.112.01.7.12.05-0053-000,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2",м2
375,Геотекстиль термообработанный иглопробивной - 1 слой ТехноНиколь 300г/м2 или аналог,13.95.10.112.01.7.12.05-0053-000,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2",м2
376,Геотекстиль для дорожного покрытия 200 г/м,13.95.10.112.01.7.12.05-0053-000,"Геополотно нетканое полиэфирное, иглопробивное, поверхностная плотность 200 г/м2",м2
377,Базальтовая сетка с ячейкой 25х25мм,23.99.19.111.01.7.12.11-0001-000,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м",м2
378,Базальтовая сетка с ячейкой 25х25мм,23.99.19.111.01.7.12.11-0001-000,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м",м2
379,Базальтовая сетка с ячейкой 25х25мм,23.99.19.111.01.7.12.11-0001-001,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм",м2
380,Базальтовая сетка с ячейкой 25х25мм,23.99.19.111.01.7.12.11-0001-001,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм",м2
381,Базальтовая сетка с ячейкой 25х25мм,23.99.19.111.01.7.12.11-0001-001,"Геосетка из полиэфирного волокна для армирования асфальтобетона, покрытие битумной дисперсией, продольная/поперечная нагрузка на разрыв 50/50 кН/м, размеры ячейки 25х25 мм",м2
382,Геотекстиль для дорожного покрытия 200 г/м,22.23.19.000.01.7.12.16-0021-000,"Геотекстиль нетканый из полиэфирного волокна, иглопробивной, поверхностная плотность 100 г/м2",м2
383,Геотекстиль для дорожного покрытия 200 г/м,22.23.19.000.01.7.12.16-0021-000,"Геотекстиль нетканый из полиэфирного волокна, иглопробивной, поверхностная плотность 100 г/м2",м2
384,Битумно-полимерный герметик ТехноНИКОЛЬ№ 42 (ТУ 5772-009-72746455-2007),20.30.22.170.14.5.01.02-0002-000,"Герметик битумно-полимерный однокомпонентный горячего применения для устройства деформационных швов на ответственных участках искусственных покрытий аэродромов, температура размягчения не ниже +80 °C, температура гибкости не выше -25 °C",кг
385,PENOSIL Premium FireStop Silicone Силиконовый герметик,20.30.22.170.14.5.01.01-0021-000,"Герметик противопожарный акриловый для заделки швов примыкания стен, перекрытий, отверстий при прокладке негорючих трубопроводов, подверженных деформациям до 10 % в процессе эксплуатации, объем 310 мл",шт
386,Клей для плитки для наружных и внутренних работ_(25 кг),20.30.22.170.14.5.01.11-0204-000,"Герметик-клей высыхающий пастообразный на органических растворителях для герметизации радиоприборов, крепления радиоэлементов, жгутов, проводов, диапазон рабочих температур от -70 до +85 °C",кг
387,Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
388,Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
389,Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
390,Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
391,Шумоглушитель трубчатый  ГТК 100-600 Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
392,Шумоглушитель трубчатый Sonodec 25  ГТК 125-600  Вентзащита,28.25.12.190.19.4.02.03-0001-000,"Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на бандажном соединении ГТК 1-1, диаметр обечайки 125 мм, масса наполнителя 1,16 кг",шт
393,Головка пожарная переходная 50х80,28.14.11.190.18.3.01.01-0061-000,"Головка соединительная напорная для соединения напорных пожарных рукавов между собой и с пожарным оборудованием, переходная ГП-70х50",шт
394,Головка пожарная переходная 50х80,28.14.11.190.18.3.01.01-0061-000,"Головка соединительная напорная для соединения напорных пожарных рукавов между собой и с пожарным оборудованием, переходная ГП-70х50",шт
395,керамзитового гравия М250 ф10-20,08.12.12.130.02.2.01.03-0001-000,"Гравий керамзитовый М 250, фракция 5-10 мм",м3
396,керамзитового гравия М250 ф10-20,08.12.12.130.02.2.01.03-0001-000,"Гравий керамзитовый М 250, фракция 5-10 мм",м3
397,керамзитового гравия М250 ф10-20,08.12.12.130.02.2.01.03-0001-000,"Гравий керамзитовый М 250, фракция 5-10 мм",м3
398,Гравий смеси фракции св.20 до 40 мм,08.12.12.130.02.2.01.02-1042-000,"Гравий М 400-1000, фракция 5(3)-10 мм",м3
399,Гравий фракции от 5(3) до 20 мм,08.12.12.130.02.2.01.02-1042-000,"Гравий М 400-1000, фракция 5(3)-10 мм",м3
400,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
401,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
402,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
403,Грунтовка глубокого проникновения,20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
404,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
405,"Грунтовка Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
406,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
407,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
408,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
409,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
410,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
411,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.21-0314-000,Грунтовка с высокой степенью проникновения для укрепления бетонных поверхностей,кг
412,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.02-0012-000,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг
413,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.02-0012-000,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг
414,"Грунтовка ж/б перекрытия Ceresit CT 17 укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая или аналог",20.30.12.140.14.4.01.02-0012-000,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг
415,Грунтовка Ceresit CT 17 или аналог,20.30.12.140.14.4.01.02-0012-000,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг
416,Грунтовка 044 EUROPRIMER MULTI или аналог,20.30.12.140.14.4.01.02-0012-000,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг
417,Краска эмаль ПФ 115 (серая),20.30.12.140.14.4.01.21-0001-000,"Грунт-эмаль антикоррозионная быстросохнущая, трехслойное покрытие по ржавчине, цвет серый",кг
418,"Трубопровод стальной электросварной ∅426x6,0 (3 м) 10704/10705",28.29.12.190.18.5.05.02-0002-000,"Грязевик из стальных электросварных и водогазопроводных труб, наружный диаметр входного патрубка 45 мм, наружный диаметр корпуса 219 мм",шт
419,Двутавр 20Б1 двутавры стальные горячекатаные с параллельными гранями полок ГОСТ Р 57837-2017 С255-4 ГОСТ 27772-2015 ГОСТ Р 57837-2017,24.10.71.120.08.3.01.02-0003-000,"Двутавры с параллельными гранями полок, марки стали Ст3сп, Ст3пс, № 20К-40К",т
420,"дорожные плиты ПД-30.17,5.1",22.19.73.119.01.5.03.02-1000-000,"Делиниатор (сепаратор дорожный), длина 500-1000 мм, ширина 200-250 мм, высота 90-100 мм",шт
421,Клемма крепежная для проволоки 5001 N-FT,27.33.14.000.20.2.05.02-0011-000,Держатели пластмассовые с защелкой для труб диаметром 25 мм,100 шт
422,"Хомут на металл. трубы, D80-160 мм NG3001 DKC",27.33.14.000.20.2.05.02-0011-000,Держатели пластмассовые с защелкой для труб диаметром 25 мм,100 шт
423,Крепление для труб ППР d20 мм с защелкой,27.33.14.000.20.2.05.02-0011-000,Держатели пластмассовые с защелкой для труб диаметром 25 мм,100 шт
424,Крепление для труб ППР d25 мм с защелкой,27.33.14.000.20.2.05.02-0011-000,Держатели пластмассовые с защелкой для труб диаметром 25 мм,100 шт
425,Крепление для полипропиленовых d=32,27.33.14.000.20.2.05.02-0011-000,Держатели пластмассовые с защелкой для труб диаметром 25 мм,100 шт
426,"Опора ОККс коническая, складывающаяся Аллея, с кронштейном под один прожектор, H=6м ОККс 8 САРОС или аналог",25.11.22.110.07.2.02.01-0017-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 108 мм, размер фланца 190 мм, диаметр отверстий крепежных элементов 16 мм, высота закладной 1000 мм",шт
427,Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,25.11.22.110.07.2.02.01-0017-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 108 мм, размер фланца 190 мм, диаметр отверстий крепежных элементов 16 мм, высота закладной 1000 мм",шт
428,Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,25.11.22.110.07.2.02.01-0022-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 1500 мм",шт
429,Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,25.11.22.110.07.2.02.01-0022-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 1500 мм",шт
430,"Опора круглая коническая ОКК ПРОСПЕКТ, высотой 9 м PSKT-90 САРОС или аналог",25.11.22.110.07.2.02.01-0018-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 4 шт, диаметр трубы 168 мм, размер фланца 224 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 800 мм",шт
431,Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,25.11.22.110.07.2.02.01-0023-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм",шт
432,Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,25.11.22.110.07.2.02.01-0023-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм",шт
433,Трубчатый закладной элемент для опоры ОККс Аллея TP6 САРОС или аналог,25.11.22.110.07.2.02.01-0023-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм",шт
434,Трубчатый закладной элемент для опоры ОКК ПРОСПЕКТ TP6-219 САРОС или аналог,25.11.22.110.07.2.02.01-0023-000,"Деталь закладная фундамента стальная фланцевая трубчатая, количество отверстий фланца 8 шт, диаметр трубы 219 мм, размер фланца 420 мм, диаметр отверстий крепежных элементов 20 мм, высота закладной 2500 мм",шт
435,антиморозная добавка в раствор кирпича,20.59.59.900.14.2.06.08-0013-000,"Добавка жидкая на основе полимерсиликата для минеральной силикатизированной двухкомпонентной смеси, компонент B",кг
436,антиморозная добавка в раствор кирпича,20.59.59.900.14.2.06.08-0013-000,"Добавка жидкая на основе полимерсиликата для минеральной силикатизированной двухкомпонентной смеси, компонент B",кг
437,100х100х6000 брус,16.22.10.000.11.1.01.04-0024-000,"Доска для покрытия полов шпунтованная из древесины хвойных пород, толщина 27 мм, ширина без гребня 100-140 мм",м3
438,50х100х6000 брус,16.22.10.000.11.1.01.04-0024-000,"Доска для покрытия полов шпунтованная из древесины хвойных пород, толщина 27 мм, ширина без гребня 100-140 мм",м3
439,150х20х6000 доска,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
440,Доска профилированная 50x100,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
441,Доска 15mm х 150mm х 6000mm,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
442,Доска профилированная 50x200  6м,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
443,150х20х6000 доска,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
444,Доска обрезная 25x150x6000,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
445,50Х100Х6000 ДОСКА,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
446,50х100х6000 брус,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
447,брус 50х200х6000,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
448,50х100х6000 брус,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
449,"Доска профилированная 50x200 (шт), сухой",16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
